id,action,timestamp,user_id,ticket_id
63,RT Ticket Number '1431' added by Limuel Ongtingco.,2025-10-27 00:16:46.689323,1.0,8
64,Ticket reassigned from Limuel Ongtingco to Sophia Paloma by Limuel Ongtingco.,2025-10-27 00:18:04.645363,1.0,17
65,Remark added by Zxakira Napoles: Waiting for verification,2025-10-27 00:19:05.945498,3.0,8
66,Ticket created by Limuel Ongtingco,2025-10-27 00:20:18.593418,1.0,18
67,Ticket auto-assigned to Limuel Ongtingco,2025-10-27 00:20:18.598539,1.0,18
68,Ticket created by Limuel Ongtingco,2025-10-27 00:20:37.247358,1.0,19
69,Ticket auto-assigned to Limuel Ongtingco,2025-10-27 00:20:37.256231,1.0,19
70,Ticket created by Limuel Ongtingco,2025-10-27 00:23:05.514254,1.0,20
71,Ticket auto-assigned to Limuel Ongtingco,2025-10-27 00:23:05.525471,1.0,20
72,Ticket reassigned from Limuel Ongtingco to Zxakira Napoles by Limuel Ongtingco.,2025-10-27 00:23:19.247435,1.0,20
73,Ticket created by Limuel Ongtingco,2025-10-27 00:25:23.350852,1.0,21
74,Ticket auto-assigned to Limuel Ongtingco,2025-10-27 00:25:23.367451,1.0,21
75,Ticket reassigned from Limuel Ongtingco to Sophia Paloma by Limuel Ongtingco.,2025-10-27 00:25:30.031628,1.0,21
76,Ticket status automatically changed to Open by Zxakira Napoles viewing it.,2025-10-27 00:31:25.575825,3.0,20
77,Remark added by Limuel Ongtingco: Jochelle Pura,2025-10-27 00:34:09.905055,1.0,16
78,Ticket status automatically changed to Open by Sophia Paloma viewing it.,2025-10-27 00:35:47.222650,5.0,21
79,Ticket created by Limuel Ongtingco,2025-10-27 00:38:04.903273,1.0,22
80,Ticket auto-assigned to Limuel Ongtingco,2025-10-27 00:38:04.908021,1.0,22
81,Remark added by Zxakira Napoles: Email sent,2025-10-27 00:38:29.051115,3.0,20
82,Ticket status automatically changed to Open by Zxakira Napoles viewing it.,2025-10-27 00:38:35.805138,3.0,16
83,Ticket created by Limuel Ongtingco,2025-10-27 00:38:40.171410,1.0,23
84,Ticket auto-assigned to Limuel Ongtingco,2025-10-27 00:38:40.192772,1.0,23
85,Ticket reassigned from Limuel Ongtingco to Sophia Paloma by Limuel Ongtingco.,2025-10-27 00:38:46.207602,1.0,23
86,Ticket created by Limuel Ongtingco,2025-10-27 00:39:31.693795,1.0,24
87,Ticket auto-assigned to Limuel Ongtingco,2025-10-27 00:39:31.698985,1.0,24
88,Ticket reassigned from Limuel Ongtingco to Zxakira Napoles by Limuel Ongtingco.,2025-10-27 00:39:37.442782,1.0,24
89,Remark added by Sophia Paloma: Advisory Email Sent,2025-10-27 00:40:41.458709,5.0,21
90,Ticket reassigned from Limuel Ongtingco to Zxakira Napoles by Limuel Ongtingco.,2025-10-27 00:40:51.046119,1.0,22
91,Remark added by Sophia Paloma: Advisory Email Sent,2025-10-27 00:40:51.153318,5.0,21
92,Ticket status automatically changed to Open by Sophia Paloma viewing it.,2025-10-27 00:41:03.237709,5.0,23
93,Remark added by Sophia Paloma: Advisory email sent. ,2025-10-27 00:43:33.180526,5.0,23
94,Ticket status automatically changed to Open by Sophia Paloma viewing it.,2025-10-27 00:43:40.023279,5.0,17
95,Ticket created by Limuel Ongtingco,2025-10-27 00:43:48.411067,1.0,25
96,Ticket auto-assigned to Limuel Ongtingco,2025-10-27 00:43:48.415272,1.0,25
97,Ticket reassigned from Limuel Ongtingco to Sophia Paloma by Limuel Ongtingco.,2025-10-27 00:44:17.718251,1.0,19
98,Remark added by Zxakira Napoles: email sent,2025-10-27 00:44:44.119704,3.0,16
99,Ticket status automatically changed to Open by Zxakira Napoles viewing it.,2025-10-27 00:44:53.649588,3.0,22
100,"Remark added by Zxakira Napoles: email sent, waiting for an update.",2025-10-27 00:45:04.468378,3.0,22
101,"Remark added by Zxakira Napoles: email sent, waiting for an update.",2025-10-27 00:46:00.934448,3.0,22
102,Ticket status automatically changed to Open by Zxakira Napoles viewing it.,2025-10-27 00:46:12.189874,3.0,24
103,Ticket created by Limuel Ongtingco,2025-10-27 00:48:45.746733,1.0,26
104,Ticket auto-assigned to Limuel Ongtingco,2025-10-27 00:48:45.756810,1.0,26
105,Ticket reassigned from Limuel Ongtingco to Zxakira Napoles by Limuel Ongtingco.,2025-10-27 00:48:50.577359,1.0,26
106,Ticket status automatically changed to Open by Zxakira Napoles viewing it.,2025-10-27 00:50:24.548913,3.0,26
107,Ticket status automatically changed to Open by Limuel Ongtingco viewing it.,2025-10-27 00:51:11.193043,4.0,10
108,RT Ticket Number '1440' added by Zxakira Napoles.,2025-10-27 00:55:09.663693,3.0,26
109,Remark added by Zxakira Napoles: Ticket created since the issue remains the same.,2025-10-27 00:55:09.663697,3.0,26
110,RT Ticket Number '1437' added by Sophia Paloma.,2025-10-27 00:56:50.454658,5.0,17
111,Ticket status automatically changed to Open by Sophia Paloma viewing it.,2025-10-27 00:59:28.032654,5.0,19
112,RT Ticket Number '1442' added by Zxakira Napoles.,2025-10-27 00:59:49.642299,3.0,22
113,Remark added by Zxakira Napoles: ticket created since the issue remains the same as of 10/27/2025,2025-10-27 00:59:49.642302,3.0,22
114,Remark added by Sophia Paloma: Advisory email sent. ,2025-10-27 00:59:55.570146,5.0,19
115,RT Ticket Number '1327' added by Limuel Ongtingco.,2025-10-27 01:01:51.931158,4.0,10
116,Status changed from Open to Resolved by Limuel Ongtingco.,2025-10-27 01:01:51.931163,4.0,10
117,Ticket status automatically changed to Open by Limuel Ongtingco viewing it.,2025-10-27 01:01:58.781707,4.0,13
118,RT Ticket Number '1445' added by Limuel Ongtingco.,2025-10-27 01:06:39.729895,4.0,13
119,Status changed from Open to In Progress by Limuel Ongtingco.,2025-10-27 01:06:39.729900,4.0,13
120,Status changed from Open to In Progress by Limuel Ongtingco.,2025-10-27 01:06:52.454705,4.0,5
121,Status changed from Open to In Progress by Limuel Ongtingco.,2025-10-27 01:09:10.820508,1.0,26
122,Status changed from Open to In Progress by Limuel Ongtingco.,2025-10-27 01:09:21.618226,1.0,22
123,Status changed from Open to In Progress by Limuel Ongtingco.,2025-10-27 01:09:48.735410,1.0,17
124,RT Ticket Number '1446' added by Sophia Paloma.,2025-10-27 01:09:55.804854,5.0,14
125,Status changed from Open to In Progress by Sophia Paloma.,2025-10-27 01:09:55.804857,5.0,14
126,Status changed from Open to In Progress by Sophia Paloma.,2025-10-27 01:10:05.197161,5.0,6
127,Status changed from Open to In Progress by Limuel Ongtingco.,2025-10-27 01:10:23.533508,1.0,7
128,Status changed from Open to In Progress by Limuel Ongtingco.,2025-10-27 01:10:31.866679,1.0,8
129,RT Ticket Number '1432' added by Sophia Paloma.,2025-10-27 01:10:42.531027,5.0,12
130,Status changed from Open to In Progress by Sophia Paloma.,2025-10-27 01:10:42.531032,5.0,12
131,RT Ticket Number '1435' added by Limuel Ongtingco.,2025-10-27 01:11:06.178360,1.0,11
132,Status changed from Open to In Progress by Limuel Ongtingco.,2025-10-27 01:11:06.178366,1.0,11
133,RT Ticket Number changed from '1435' to '1434' by Sophia Paloma.,2025-10-27 01:11:16.284251,5.0,11
134,Ticket status automatically changed to Open by Limuel Ongtingco viewing it.,2025-10-27 01:14:06.009882,4.0,15
135,RT Ticket Number '1447' added by Sophia Paloma.,2025-10-27 01:17:00.433336,5.0,21
136,Status changed from Open to In Progress by Sophia Paloma.,2025-10-27 01:17:00.433340,5.0,21
137,RT Ticket Number '1450' added by Zxakira Napoles.,2025-10-27 01:21:13.879726,3.0,24
138,Remark added by Zxakira Napoles: ticket created since the issue remains the same as of 10/27/2025,2025-10-27 01:21:13.879731,3.0,24
139,Ticket created by Limuel Ongtingco,2025-10-27 01:43:27.245680,1.0,27
140,Ticket auto-assigned to Limuel Ongtingco,2025-10-27 01:43:27.253117,1.0,27
141,Ticket created by Limuel Ongtingco,2025-10-27 01:48:34.649293,1.0,28
142,Ticket auto-assigned to Limuel Ongtingco,2025-10-27 01:48:34.653328,1.0,28
143,Ticket reassigned from Limuel Ongtingco to Zxakira Napoles by Limuel Ongtingco.,2025-10-27 01:48:46.284644,1.0,28
144,Ticket status automatically changed to Open by Zxakira Napoles viewing it.,2025-10-27 01:49:18.204103,3.0,28
145,RT Ticket Number '1452' added by Zxakira Napoles.,2025-10-27 01:53:30.464481,3.0,28
146,RT Ticket Number '1454' added by Limuel Ongtingco.,2025-10-27 01:58:36.367656,4.0,15
147,Status changed from Open to In Progress by Limuel Ongtingco.,2025-10-27 01:58:36.367660,4.0,15
148,Ticket status automatically changed to Open by Limuel Ongtingco viewing it.,2025-10-27 02:00:01.051842,4.0,18
149,Ticket created by Limuel Ongtingco,2025-10-27 02:01:54.093091,1.0,29
150,Ticket auto-assigned to Limuel Ongtingco,2025-10-27 02:01:54.102378,1.0,29
151,Ticket reassigned from Limuel Ongtingco to Sophia Paloma by Limuel Ongtingco.,2025-10-27 02:01:59.085566,1.0,29
152,Ticket status automatically changed to Open by Sophia Paloma viewing it.,2025-10-27 02:02:56.442578,5.0,29
153,Ticket status automatically changed to Open by Limuel Ongtingco viewing it.,2025-10-27 02:04:04.768556,4.0,27
154,RT Ticket Number '1456' added by Sophia Paloma.,2025-10-27 02:06:43.341593,5.0,29
155,Status changed from Open to In Progress by Sophia Paloma.,2025-10-27 02:06:43.341598,5.0,29
156,RT Ticket Number '1458' added by Limuel Ongtingco.,2025-10-27 02:18:21.843652,4.0,27
157,Status changed from Open to In Progress by Limuel Ongtingco.,2025-10-27 02:18:21.843658,4.0,27
158,Ticket status automatically changed to Open by Limuel Ongtingco viewing it.,2025-10-27 02:21:45.629576,4.0,25
159,RT Ticket Number '1460' added by Limuel Ongtingco.,2025-10-27 02:27:14.578558,4.0,25
160,Status changed from Open to In Progress by Limuel Ongtingco.,2025-10-27 02:27:14.578562,4.0,25
161,Status changed from Open to In Progress by Limuel Ongtingco.,2025-10-27 02:33:58.270727,1.0,28
162,Status changed from Open to In Progress by Limuel Ongtingco.,2025-10-27 02:34:11.884510,1.0,24
163,Ticket created by Limuel Ongtingco,2025-10-27 03:06:15.416165,1.0,30
164,Ticket auto-assigned to Limuel Ongtingco,2025-10-27 03:06:15.436743,1.0,30
165,Ticket status automatically changed to Open by Limuel Ongtingco viewing it.,2025-10-27 03:10:46.035412,4.0,30
166,RT Ticket Number '1462' added by Limuel Ongtingco.,2025-10-27 03:19:06.880349,4.0,30
167,Status changed from Open to In Progress by Limuel Ongtingco.,2025-10-27 03:19:06.880354,4.0,30
168,Ticket created by Limuel Ongtingco,2025-10-27 03:35:02.954268,1.0,31
169,Ticket auto-assigned to Limuel Ongtingco,2025-10-27 03:35:02.962335,1.0,31
170,Ticket reassigned from Limuel Ongtingco to Zxakira Napoles by Limuel Ongtingco.,2025-10-27 03:35:11.299527,1.0,31
171,RT Ticket Number '1464' added by Zxakira Napoles.,2025-10-27 03:37:21.940780,3.0,16
172,Ticket status automatically changed to Open by Zxakira Napoles viewing it.,2025-10-27 03:37:48.397619,3.0,31
173,Ticket created by Limuel Ongtingco,2025-10-27 03:39:37.452323,1.0,32
174,Ticket auto-assigned to Limuel Ongtingco,2025-10-27 03:39:37.566447,1.0,32
175,Ticket reassigned from Limuel Ongtingco to Sophia Paloma by Limuel Ongtingco.,2025-10-27 03:39:43.022739,1.0,32
176,Ticket created by Limuel Ongtingco,2025-10-27 03:40:57.805891,1.0,33
177,Ticket auto-assigned to Limuel Ongtingco,2025-10-27 03:40:57.815892,1.0,33
178,Ticket status automatically changed to Open by Limuel Ongtingco viewing it.,2025-10-27 03:41:22.453442,4.0,33
179,Ticket status automatically changed to Open by Sophia Paloma viewing it.,2025-10-27 03:43:27.128868,5.0,32
180,RT Ticket Number '1466' added by Limuel Ongtingco.,2025-10-27 03:43:27.455855,4.0,33
181,Status changed from Open to In Progress by Limuel Ongtingco.,2025-10-27 03:43:27.455860,4.0,33
182,Ticket created by Limuel Ongtingco,2025-10-27 03:50:59.482059,1.0,34
183,Ticket auto-assigned to Limuel Ongtingco,2025-10-27 03:50:59.498318,1.0,34
184,Ticket created by Limuel Ongtingco,2025-10-27 03:51:31.242060,1.0,35
185,Ticket auto-assigned to Limuel Ongtingco,2025-10-27 03:51:31.248554,1.0,35
186,Status changed from Open to In Progress by Sophia Paloma.,2025-10-27 03:53:38.463928,5.0,32
187,RT Ticket Number '1467' added by Sophia Paloma.,2025-10-27 03:54:00.487081,5.0,32
188,Ticket status automatically changed to Open by Limuel Ongtingco viewing it.,2025-10-27 05:14:46.789373,4.0,34
189,Ticket created by Limuel Ongtingco,2025-10-27 05:31:14.042899,1.0,36
190,Ticket auto-assigned to Limuel Ongtingco,2025-10-27 05:31:14.055524,1.0,36
191,Ticket reassigned from Limuel Ongtingco to Sophia Paloma by Limuel Ongtingco.,2025-10-27 05:31:21.301650,1.0,36
192,Ticket status automatically changed to Open by Sophia Paloma viewing it.,2025-10-27 05:31:55.790410,5.0,36
193,Ticket created by Limuel Ongtingco,2025-10-27 05:32:07.513652,1.0,37
194,Ticket auto-assigned to Limuel Ongtingco,2025-10-27 05:32:07.552475,1.0,37
195,RT Ticket Number '1470' added by Zxakira Napoles.,2025-10-27 05:32:34.931483,3.0,20
196,Ticket status automatically changed to Open by Limuel Ongtingco viewing it.,2025-10-27 05:33:36.583530,4.0,37
197,RT Ticket Number '1472' added by Sophia Paloma.,2025-10-27 05:37:24.522458,5.0,36
198,Status changed from Open to In Progress by Sophia Paloma.,2025-10-27 05:37:24.522462,5.0,36
199,RT Ticket Number '1474' added by Limuel Ongtingco.,2025-10-27 05:40:33.195238,4.0,37
200,Status changed from Open to In Progress by Limuel Ongtingco.,2025-10-27 05:40:33.195243,4.0,37
201,RT Ticket Number '1476' added by Limuel Ongtingco.,2025-10-27 05:55:40.576930,4.0,34
202,Status changed from Open to In Progress by Limuel Ongtingco.,2025-10-27 05:55:40.576935,4.0,34
203,Ticket status automatically changed to Open by Limuel Ongtingco viewing it.,2025-10-27 05:55:50.338889,4.0,35
204,Ticket created by Limuel Ongtingco,2025-10-27 06:03:24.553295,1.0,38
205,Ticket auto-assigned to Zxakira Napoles,2025-10-27 06:03:24.573533,1.0,38
206,Ticket status automatically changed to Open by Zxakira Napoles viewing it.,2025-10-27 06:04:02.448495,3.0,38
207,Remark added by Zxakira Napoles: service downtime in Cebu - Ongoing,2025-10-27 06:05:17.989791,3.0,38
208,Status changed from Open to Pending by Zxakira Napoles.,2025-10-27 06:05:17.989796,3.0,38
209,Status changed from Open to Pending by Limuel Ongtingco.,2025-10-27 06:05:20.140417,1.0,35
210,Status changed from Open to Pending by Limuel Ongtingco.,2025-10-27 06:05:32.874645,1.0,31
211,Status changed from Open to Pending by Limuel Ongtingco.,2025-10-27 06:06:02.144602,1.0,23
212,Status changed from Open to In Progress by Limuel Ongtingco.,2025-10-27 06:07:20.611012,1.0,20
213,Status changed from Open to In Progress by Limuel Ongtingco.,2025-10-27 06:07:45.733096,1.0,16
214,Ticket created by Limuel Ongtingco,2025-10-27 06:13:16.736491,1.0,39
215,Ticket auto-assigned to Zxakira Napoles,2025-10-27 06:13:16.742874,1.0,39
216,Ticket status automatically changed to Open by Zxakira Napoles viewing it.,2025-10-27 06:13:40.997114,3.0,39
217,Status changed from Open to Pending by Limuel Ongtingco.,2025-10-27 06:39:11.548025,4.0,18
218,Status changed from In Progress to Resolved by Limuel Ongtingco.,2025-10-27 06:46:31.853901,4.0,33
219,Ticket created by Limuel Ongtingco,2025-10-27 06:52:17.710229,1.0,40
220,Ticket auto-assigned to Limuel Ongtingco,2025-10-27 06:52:17.775174,1.0,40
221,Ticket created by Limuel Ongtingco,2025-10-27 07:14:57.073868,1.0,41
222,Ticket auto-assigned to Limuel Ongtingco,2025-10-27 07:14:57.088417,1.0,41
223,Ticket reassigned from Limuel Ongtingco to Sophia Paloma by Limuel Ongtingco.,2025-10-27 07:15:04.741080,1.0,41
224,Ticket created by Limuel Ongtingco,2025-10-27 07:17:44.521062,1.0,42
225,Ticket auto-assigned to Limuel Ongtingco,2025-10-27 07:17:44.569878,1.0,42
226,Ticket reassigned from Limuel Ongtingco to Zxakira Napoles by Limuel Ongtingco.,2025-10-27 07:17:53.746119,1.0,42
227,RT Ticket Number '1478' added by Limuel Ongtingco.,2025-10-27 07:18:29.280640,1.0,39
228,Status changed from Open to In Progress by Limuel Ongtingco.,2025-10-27 07:18:29.280645,1.0,39
229,Remark added by Zxakira Napoles: Payment Received and Verified.,2025-10-27 07:19:37.753396,3.0,8
230,Status changed from In Progress to Resolved by Zxakira Napoles.,2025-10-27 07:19:37.753402,3.0,8
231,Ticket created by Limuel Ongtingco,2025-10-27 07:19:46.757978,1.0,43
232,Ticket auto-assigned to Limuel Ongtingco,2025-10-27 07:19:46.768616,1.0,43
233,Ticket status automatically changed to Open by Zxakira Napoles viewing it.,2025-10-27 07:19:57.388062,3.0,42
234,Status changed from Open to Pending by Zxakira Napoles.,2025-10-27 07:20:11.106982,3.0,42
235,Ticket status automatically changed to Open by Sophia Paloma viewing it.,2025-10-27 07:29:45.756202,5.0,41
236,Status changed from New to Pending by Limuel Ongtingco.,2025-10-27 07:29:47.338101,1.0,43
237,Remark added by Sophia Paloma: Advisory Email Sent. ,2025-10-27 07:30:00.127266,5.0,41
238,Status changed from Open to Pending by Sophia Paloma.,2025-10-27 07:30:00.127272,5.0,41
239,Status changed from New to Pending by Limuel Ongtingco.,2025-10-27 07:30:00.146881,1.0,40
240,Status changed from Open to Pending by Sophia Paloma.,2025-10-27 07:30:17.964996,5.0,19
241,Ticket created by Limuel Ongtingco,2025-10-27 08:10:13.841785,1.0,44
242,Ticket auto-assigned to Limuel Ongtingco,2025-10-27 08:10:13.845546,1.0,44
243,Ticket reassigned from Limuel Ongtingco to Zxakira Napoles by Limuel Ongtingco.,2025-10-27 08:10:37.563897,1.0,44
244,Ticket status automatically changed to Open by Zxakira Napoles viewing it.,2025-10-27 08:10:51.608188,3.0,44
245,RT Ticket Number '1480' added by Zxakira Napoles.,2025-10-27 08:16:25.518924,3.0,44
246,Remark added by Zxakira Napoles: Waiting for verification,2025-10-27 08:16:25.518929,3.0,44
247,Status changed from Open to In Progress by Limuel Ongtingco.,2025-10-27 09:10:45.627881,1.0,44
248,Ticket created by Limuel Ongtingco,2025-10-27 09:14:55.449000,1.0,45
249,Ticket auto-assigned to Limuel Ongtingco,2025-10-27 09:14:55.465578,1.0,45
250,Ticket reassigned from Limuel Ongtingco to Sophia Paloma by Limuel Ongtingco.,2025-10-27 09:15:04.281129,1.0,45
251,Ticket status automatically changed to Open by Sophia Paloma viewing it.,2025-10-27 09:15:21.165735,5.0,45
252,Remark added by Sophia Paloma: Advisory email sent. ,2025-10-27 09:19:03.731935,5.0,45
253,Status changed from Open to Pending by Sophia Paloma.,2025-10-27 09:19:03.731939,5.0,45
254,RT Ticket Number changed from '1327' to '1425' by Limuel Ongtingco.,2025-10-27 09:25:12.842731,4.0,10
255,RT Ticket Number changed from '1425' to '1327' by Limuel Ongtingco.,2025-10-27 09:25:32.730081,4.0,10
256,Remark added by Limuel Ongtingco: Payment received and verified,2025-10-27 09:33:08.869379,4.0,5
257,Status changed from In Progress to Resolved by Limuel Ongtingco.,2025-10-27 09:33:08.869386,4.0,5
258,Remark added by Limuel Ongtingco: payment received and verified,2025-10-27 09:43:00.732385,4.0,34
259,Status changed from In Progress to Resolved by Limuel Ongtingco.,2025-10-27 09:43:00.732389,4.0,34
260,Ticket created by Limuel Ongtingco,2025-10-27 23:35:50.191005,1.0,46
261,Ticket auto-assigned to Limuel Ongtingco,2025-10-27 23:35:50.263630,1.0,46
262,Ticket created by Limuel Ongtingco,2025-10-27 23:40:32.783436,1.0,47
263,Ticket auto-assigned to Limuel Ongtingco,2025-10-27 23:40:32.791820,1.0,47
264,Ticket reassigned from Limuel Ongtingco to Zxakira Napoles by Limuel Ongtingco.,2025-10-27 23:40:40.395043,1.0,47
265,Ticket created by Limuel Ongtingco,2025-10-27 23:42:48.264913,1.0,48
266,Ticket auto-assigned to Limuel Ongtingco,2025-10-27 23:42:48.279068,1.0,48
267,Ticket reassigned from Limuel Ongtingco to Sophia Paloma by Limuel Ongtingco.,2025-10-27 23:42:53.309244,1.0,48
268,Ticket status automatically changed to Open by Zxakira Napoles viewing it.,2025-10-27 23:43:22.662666,3.0,47
269,Status changed from Pending to Resolved by Sophia Paloma.,2025-10-27 23:59:48.264247,5.0,41
270,Ticket status automatically changed to Open by Sophia Paloma viewing it.,2025-10-28 00:03:29.164587,5.0,48
271,Status changed from Open to Pending by Sophia Paloma.,2025-10-28 00:03:45.793949,5.0,48
272,Status changed from In Progress to Resolved by Sophia Paloma.,2025-10-28 00:04:23.263785,5.0,6
273,"Remark added by Zxakira Napoles: sent an email, waiting for an update.",2025-10-28 00:16:44.007222,3.0,47
274,Ticket status automatically changed to Open by Limuel Ongtingco viewing it.,2025-10-28 00:28:16.125780,4.0,46
275,"Remark added by Limuel Ongtingco: currently colleting data in grafana
",2025-10-28 00:33:01.501883,4.0,46
276,Status changed from In Progress to Resolved by Sophia Paloma.,2025-10-28 01:28:07.460535,5.0,21
277,Ticket created by Limuel Ongtingco,2025-10-28 01:30:56.295389,1.0,49
278,Ticket auto-assigned to Sophia Paloma,2025-10-28 01:30:56.314180,1.0,49
279,Ticket status automatically changed to Open by Sophia Paloma viewing it.,2025-10-28 01:31:14.372187,5.0,49
280,Status changed from Open to In Progress by Sophia Paloma.,2025-10-28 01:34:25.206189,5.0,49
281,Status changed from In Progress to Resolved by Sophia Paloma.,2025-10-28 02:21:04.258644,5.0,49
282,Ticket created by Limuel Ongtingco,2025-10-28 03:35:47.302172,1.0,50
283,Ticket auto-assigned to Sophia Paloma,2025-10-28 03:35:47.363024,1.0,50
284,Ticket reassigned from Sophia Paloma to Limuel Ongtingco by Limuel Ongtingco.,2025-10-28 03:35:58.997804,1.0,50
285,Status changed from Open to Pending by Limuel Ongtingco.,2025-10-28 03:46:39.594586,4.0,46
286,Remark added by Limuel Ongtingco: email sent to the client ,2025-10-28 03:47:30.073718,4.0,37
287,Email log added by Limuel Ongtingco.,2025-10-28 04:01:45.276354,4.0,30
288,Email log added by Limuel Ongtingco.,2025-10-28 04:03:18.238107,4.0,30
289,Ticket created by Limuel Ongtingco,2025-10-28 04:05:20.254191,1.0,51
290,Ticket auto-assigned to Limuel Ongtingco,2025-10-28 04:05:20.262114,1.0,51
